gridiv,name,peak_T2,mean_T2,min_T2,dangerous_heat_hours
1,Jade Gardens,38.14938264283291,29.425812310090915,26.044515881584356,75.0
4,Kampong Lama,37.38396851763299,29.43212514903724,25.933936647078735,68.0
3,Taman Melati,37.68154018850389,29.3764763344116,26.037682741234512,62.75
5,Dhobi Lines,36.90637319499873,29.348034820056988,25.930071002021446,44.0
9,Fuzhou Lanes,36.70505932619149,29.304011403522285,25.90788307188527,36.25
2,Serendib Rise,36.762890532851024,29.282056791583965,26.0282157149359,31.0
7,Mlima Moto,35.586288683250686,29.176799101037236,25.911171322613924,5.0
6,Lusitano Square,35.33590943481935,29.139575913615538,25.95083951235,4.25
8,Victoria Exchange,35.11220951254483,29.112837207950374,25.944422246650333,2.75
10,Zheng He Towers,34.37205857515201,29.028677724873912,25.938762813229406,0.0
